Date,Temperature,Ind,Id
2014-01-03 16:00:00,8.33,X1,129
2014-01-03 16:30:00,8.055,X1,130
2014-01-03 17:00:00,7.78,X1,131
2014-01-03 17:30:00,7.5,X1,132
2014-01-03 18:00:00,7.22,X1,133
2014-01-03 18:30:00,7.22,X1,134
2014-01-03 19:00:00,7.22,X1,135
2014-01-03 19:30:00,7.5,X1,136
2014-01-03 20:00:00,7.78,X1,137
2014-01-03 20:30:00,7.78,X1,138
2014-01-03 21:00:00,7.78,X1,139
2014-01-03 21:30:00,7.78,X1,140
2014-01-03 22:00:00,7.78,X1,141
2014-01-03 22:30:00,7.78,X1,142
2014-01-03 23:00:00,7.78,X1,143
2014-01-03 23:30:00,8.055,X1,144
2014-01-04 00:00:00,8.33,X1,145
2014-01-04 00:30:00,8.61,X1,146
2014-01-04 01:00:00,8.89,X1,147
2014-01-04 01:30:00,8.61,X1,148
2014-01-04 02:00:00,8.33,X1,149
2014-01-04 02:30:00,8.885,X1,150
2014-01-04 03:00:00,9.44,X1,151
2014-01-04 03:30:00,9.165,X1,152
2014-01-04 04:00:00,8.89,X1,153
2014-01-04 04:30:00,8.61,X1,154
2014-01-04 05:00:00,8.33,X1,155
2014-01-04 05:30:00,8.33,X1,156
2014-01-04 06:00:00,8.33,X1,157
2014-01-04 06:30:00,8.61,X1,158
2014-01-04 07:00:00,8.89,X1,159
2014-01-04 07:30:00,9.165,X1,160
2014-01-04 08:00:00,9.44,X1,161
2014-01-04 08:30:00,9.44,X1,162
2014-01-04 09:00:00,9.44,X1,163
2014-01-04 09:30:00,9.44,X1,164
2014-01-04 10:00:00,9.44,X1,165
2014-01-04 10:30:00,9.72,X1,166
2014-01-04 11:00:00,10,X1,167
2014-01-04 11:30:00,9.72,X1,168
2014-01-04 12:00:00,9.44,X1,169
2014-01-04 12:30:00,9.44,X1,170
2014-01-04 13:00:00,9.44,X1,171
2014-01-04 13:30:00,9.44,X1,172
2014-01-04 14:00:00,9.44,X1,173
2014-01-04 14:30:00,8.61,X1,174
2014-01-04 15:00:00,7.78,X1,175
2014-01-04 15:30:00,7.5,X1,176
2014-01-04 16:00:00,7.22,X1,177
2014-01-04 16:30:00,6.945,X1,178
2014-01-04 17:00:00,6.67,X1,179
2014-01-04 17:30:00,6.67,X1,180
2014-01-04 18:00:00,6.67,X1,181
2014-01-04 18:30:00,6.67,X1,182
2014-01-04 19:00:00,6.67,X1,183
2014-01-04 19:30:00,6.39,X1,184
2014-01-04 20:00:00,6.11,X1,185
2014-01-04 20:30:00,5.835,X1,186
2014-01-04 21:00:00,5.56,X1,187
2014-01-04 21:30:00,5.28,X1,188
2014-01-04 22:00:00,5,X1,189
2014-01-04 22:30:00,4.72,X1,190
2014-01-04 23:00:00,4.44,X1,191
2014-01-04 23:30:00,4.165,X1,192
2014-01-05 00:00:00,3.89,X1,193
2014-01-05 00:30:00,3.61,X1,194
2014-01-05 01:00:00,3.33,X1,195
2014-01-05 01:30:00,3.33,X1,196
2014-01-05 02:00:00,3.33,X1,197
2014-01-05 02:30:00,3.33,X1,198
2014-01-05 03:00:00,3.33,X1,199
2014-01-05 03:30:00,3.055,X1,200
2014-01-05 04:00:00,2.78,X1,201
2014-01-05 04:30:00,2.5,X1,202
2014-01-05 05:00:00,2.22,X1,203
2014-01-05 05:30:00,2.5,X1,204
2014-01-05 06:00:00,2.78,X1,205
2014-01-05 06:30:00,2.5,X1,206
2014-01-05 07:00:00,2.22,X1,207
2014-01-05 07:30:00,1.945,X1,208
2014-01-05 08:00:00,1.67,X1,209
2014-01-05 08:30:00,2.225,X1,210
2014-01-05 09:00:00,2.78,X1,211
2014-01-05 09:30:00,3.61,X1,212
2014-01-05 10:00:00,4.44,X1,213
2014-01-05 10:30:00,5,X1,214
2014-01-05 11:00:00,5.56,X1,215
2014-01-05 11:30:00,6.39,X1,216
2014-01-05 12:00:00,7.22,X1,217
2014-01-05 12:30:00,7.5,X1,218
2014-01-05 13:00:00,7.78,X1,219
2014-01-05 13:30:00,7.78,X1,220
2014-01-05 14:00:00,7.78,X1,221
2014-01-05 14:30:00,8.055,X1,222
2014-01-05 15:00:00,8.33,X1,223
2014-01-05 15:30:00,8.33,X1,224
2014-01-05 16:00:00,8.33,X1,225
2014-01-05 16:30:00,8.33,X1,226
2014-01-05 17:00:00,8.33,X1,227
2014-01-05 17:30:00,8.61,X1,228
2014-01-05 18:00:00,8.89,X1,229
2014-01-05 18:30:00,8.89,X1,230
2014-01-05 19:00:00,8.89,X1,231
2014-01-05 19:30:00,9.165,X1,232
2014-01-05 20:00:00,9.44,X1,233
2014-01-05 20:30:00,9.72,X1,234
2014-01-05 21:00:00,10,X1,235
